Features,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Litter,peat,peat_litter,ms_level,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT4246,970.420033328639,970.420033328639,970.420033328639,2226.19254964609,2226.19254964609,2226.19254964609,1,1,0,0,1,368261.623042603,2821.79613650022,19349.2313327105,6585.76206874348,0,0,10126.7993244446,10229.0041188519
FT4247,970.478024985741,970.478024985741,970.478024985741,1343.56515430708,1343.56515430708,1343.56515430708,1,1,0,0,1,108708.867480471,0,0,0,0,0,0,0
FT4248,970.549667031887,970.549667031887,970.549667031887,3064.05732122072,3064.05732122072,3064.05732122072,1,1,0,0,1,1076974.35227458,1158.33344052241,19874.1834116254,0,0,0,1625.68782502534,3249.77310498345
FT4249,971.313138482278,971.312893091682,971.313171560772,379.654279250546,373.764595780752,384.271382673581,3,0,0,3,1,41439.0666238197,101224.421738599,882461.133301354,1501277.50238776,2353032.29745117,1076168.88656649,2237945.31569057,2869223.89019499
FT4250,971.553783658707,971.553693519333,971.553873798082,3341.864560856,3336.06922550329,3347.65989620872,2,1,0,0,1,1742265.07670585,0,39342.4531052244,5564.9610008792,2622.68801410174,6408.49407675329,5250.04552718545,7824.86735106581
FT4251,971.607241644721,971.561312621564,971.653170667878,3066.36770117644,3037.74755507375,3094.98784727913,2,1,0,0,1,355309.127021475,0,0,0,0,0,0,0
FT4252,971.925448545793,971.92494483488,971.92550095079,48.2198705684753,47.4639344076242,49.5519855457926,5,0,0,5,1,9773.03123799358,39306.4838958453,96281.4575011091,167630.610744097,302384.775178281,167951.226213672,268688.591833511,247555.369861003
FT4253,975.307478641073,975.307329226314,975.307546515043,545.695976932066,543.105377368047,546.871191191213,6,0,1,5,1,132250.355161662,518819.022290924,1231104.11386742,717017.357741448,755316.542985351,724939.993943209,1197576.35174104,1445029.10410664
FT4254,975.306966445687,975.306966445687,975.306966445687,136.217679056572,136.217679056572,136.217679056572,1,1,0,0,1,187081.242929548,112294.50117374,88734.3863811753,108102.57526511,164493.21656576,126422.083268684,206233.810092077,134582.790283853
FT4255,975.59276927143,975.588722784815,975.593110430496,3170.54516993433,3130.98967533102,3180.77066681855,3,1,0,1,1,8569568.79387483,11683.3902589422,642195.814372295,94589.4945426326,23917.7695669046,142011.415292942,75893.8273028927,119643.859070502
FT4256,976.177193261412,976.176901718722,976.17757773426,51.8652563638484,50.9428206292685,53.2974331905768,7,0,1,6,1,121727.932335296,836731.223099219,943752.067178568,1048828.82924977,1483110.04666945,1059345.91806914,1032868.7892983,1416240.17789319
FT4257,976.596378084779,976.596171443678,976.596584725881,3175.65791837644,3170.54516993433,3180.77066681855,2,1,0,1,1,4715423.66876125,2168.09449811023,319992.684851074,48061.5112562141,2060.24118930033,78001.0679187541,38214.2840847599,63046.0091989571
FT4258,976.678985573773,976.678686120551,976.679444660731,51.8652563638484,50.9428206292685,53.2974331905768,7,0,1,6,1,92482.6275007594,569593.931869531,667735.186414906,755905.324487402,1027318.59925797,761728.224280185,778572.149342623,987996.296613098
FT4259,977.180313601272,977.180126111948,977.180982622656,51.6186068856377,50.9428206292685,53.2974331905768,6,0,1,5,1,20088.0137274143,181594.933207324,239616.405603223,211510.231064974,448748.826789067,249356.617615278,261537.403909801,330626.786915932
FT4260,977.323458605025,977.323458605025,977.323458605025,113.051257659069,113.051257659069,113.051257659069,1,0,1,0,1,0,324592.831505978,71103.6092262385,39063.268391959,106411.544887955,91593.6793318525,106805.873072789,126580.432754395
FT4261,977.608870070569,977.599874504505,977.608880001691,3205.8615559955,3170.54516993433,3224.50678517839,3,1,0,1,1,1000094.02042074,7087.03024193418,86992.6299406032,15977.3206914054,5881.57104737996,412585.742322829,14528.3981032969,34660.480393174
FT4262,978.612391745654,978.61236412767,978.612419363638,3216.3129437575,3205.8615559955,3226.7643315195,2,1,0,1,1,254109.973363561,1289.89993716031,40533.2892503481,1680.81523766331,1719.02001737158,163205.608155382,8015.62746424073,15482.8026758636
FT4263,979.377320452809,979.377320452809,979.377320452809,2184.92620300537,2184.92620300537,2184.92620300537,1,1,0,0,1,451498.560059608,0,6467.45773575582,0,6254.55255436738,4127.23790936995,3980.02688791038,1615.48545387087
FT4264,979.56736407279,979.56736407279,979.56736407279,3276.36138725571,3276.36138725571,3276.36138725571,1,1,0,0,1,1024075.01234103,0,4910.55464500737,0,0,0,0,1402.91813297682
FT4265,980.318162310784,980.31807966165,980.320102600215,839.783924583819,837.46190702557,841.720644227351,5,0,0,5,1,101264.372550561,332199.714943776,863376.129670271,1273415.43565538,721946.081644584,1034425.33716074,452176.782524352,349912.676315499
FT4266,980.819636740601,980.819567130448,980.819995211463,839.509024733046,838.43282774716,841.07850156555,3,0,0,3,1,64524.4239264622,255324.822304553,635207.338448769,1009137.57205058,552550.950489676,620502.655583659,345160.885391695,355496.996031596
FT4267,981.198107635549,981.198107635549,981.198107635549,1588.89548396791,1588.89548396791,1588.89548396791,1,1,0,0,1,2676152.03499868,1220.7421989175,7229.66347427799,0,8803.57731470909,0,0,0
FT4268,981.307470926594,981.307391423449,981.307863126351,605.903988055732,605.850243451645,606.746468218224,3,0,0,3,1,263333.756008388,444744.715407596,792036.133040041,807200.906322512,864019.113624024,686133.68616882,1124063.85307172,1736150.46876498
