"","name","xend","yend","coord","cos2","contrib","PC1_Vector_corr","PC2_Vector_corr","abs_PC1_Vector_corr","abs_PC2_Vector_corr"
"212","FT212",-13.8378027429179,0.0947470197127322,0.997612771728821,0.997612771728821,0.204549685402693,-0.998782260975479,0.00683863213889237,0.998782260975479,0.00683863213889237
"213","FT213",-13.7780356430013,-0.163746725646044,0.989107089983465,0.989107089983465,0.202805687556582,-0.99446840274989,-0.0118188796231967,0.99446840274989,0.0118188796231967
"214","FT214",-13.8223991000347,0.187405523564312,0.995529313107879,0.995529313107879,0.204122494795736,-0.997670459806473,0.0135265197822432,0.997670459806473,0.0135265197822432
"215","FT215",-13.8381982543426,-0.169904940214301,0.997773420569975,0.997773420569975,0.204582624706248,-0.998810808122912,-0.0122633660481245,0.998810808122912,0.0122633660481245
"216","FT216",-13.8434792097827,-0.470538945480948,0.99953805404376,0.99953805404376,0.204944443672628,-0.99919197590746,-0.0339624693728928,0.99919197590746,0.0339624693728928
"217","FT217",-8.02697301593795,1.52076528824308,0.347717265808582,0.347717265808582,0.0712956563366492,-0.579369312208967,0.109765504048815,0.579369312208967,0.109765504048815
"218","FT218",-9.56765615010355,-9.4798140850603,0.945063995370217,0.945063995370217,0.193775128403166,-0.690572442704252,-0.684232195053478,0.690572442704252,0.684232195053478
"219","FT219",-13.8365943087778,0.0115203613449674,0.997392472037611,0.997392472037611,0.204504515338909,-0.998695038848886,0.000831514422133958,0.998695038848886,0.000831514422133958
"220","FT220",-13.8443798272233,-0.00319184990504972,0.998514566152487,0.998514566152487,0.204734588574431,-0.999256980499615,-0.000230380727640558,0.999256980499615,0.000230380727640558
"221","FT221",-9.74442444384614,-9.3265620394676,0.947833687469542,0.947833687469542,0.194343023746564,-0.703331190561339,-0.673170798425713,0.703331190561339,0.673170798425713
"222","FT222",-6.76280214225153,-7.46239928273801,0.52837635723175,0.52837635723175,0.108337844811949,-0.48812423038945,-0.538619618040837,0.48812423038945,0.538619618040837
"223","FT223",8.94788806360021,-8.79980538893862,0.820524296709343,0.820524296709343,0.16823961311793,0.645838941134787,-0.635150658366376,0.645838941134787,0.635150658366376
"224","FT224",-13.8379722677812,-0.165455661168122,0.997733063836477,0.997733063836477,0.204574349995484,-0.998794496908412,-0.0119422268421384,0.998794496908412,0.0119422268421384
"225","FT225",-13.7691068030438,0.950300366345298,0.992390691021312,0.992390691021312,0.203478954357403,-0.993823938659289,0.0685905967975986,0.993823938659289,0.0685905967975986
"226","FT226",7.6175542235874,-10.404954574461,0.86631145492539,0.86631145492539,0.177627773608643,0.549818361475909,-0.751006807099201,0.549818361475909,0.751006807099201
"227","FT227",-13.838834611568,-0.174966720188456,0.997874269453091,0.997874269453091,0.204603302676598,-0.998856738992152,-0.0126287142281117,0.998856738992152,0.0126287142281117
"228","FT228",-13.833928412395,0.0273875121627607,0.997011390354426,0.997011390354426,0.204426378670436,-0.998502620293262,0.00197677057756986,0.998502620293262,0.00197677057756986
"229","FT229",-13.8382639301822,-0.168191394417743,0.997779871825343,0.997779871825343,0.204583947466234,-0.998815548461012,-0.0121396860696794,0.998815548461012,0.0121396860696794
"230","FT230",-13.8381921004103,-0.14993228639305,0.997739254127267,0.997739254127267,0.204575619247512,-0.998810363945571,-0.0108217836876967,0.998810363945571,0.0108217836876967
"231","FT231",-13.8370711364144,0.0223054616726367,0.997463116697418,0.997463116697418,0.204519000260662,-0.998729455222193,0.00160995931618551,0.998729455222193,0.00160995931618551
"232","FT232",-13.8381006981643,-0.167371629963769,0.997754903335251,0.997754903335251,0.204578827947982,-0.998803766731869,-0.0120805172688215,0.998803766731869,0.0120805172688215
"233","FT233",-13.8386245506295,-0.153152254925828,0.997806691655665,0.997806691655665,0.204589446581733,-0.998841577254192,-0.0110541939562333,0.998841577254192,0.0110541939562333
"234","FT234",-13.8351522362565,0.239031492967378,0.99748154988542,0.99748154988542,0.204522779786059,-0.998590953216211,0.017252769057753,0.998590953216211,0.017252769057753
"235","FT235",4.48866052721075,6.53395754937842,0.327377032953311,0.327377032953311,0.067125112063892,0.323981674938489,0.471606729444526,0.323981674938489,0.471606729444526
"236","FT236",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"237","FT237",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"238","FT238",-13.7555875513679,-1.44266799649827,0.99659021440556,0.99659021440556,0.204340021107381,-0.992848148715874,-0.104128612768162,0.992848148715874,0.104128612768162
"239","FT239",-13.8405441548739,-0.0711739424430432,0.997987690903048,0.997987690903048,0.204626558515501,-0.998980130079601,-0.00513717910830775,0.998980130079601,0.00513717910830775
"240","FT240",-13.7911570018161,0.234002920065253,0.991137231141472,0.991137231141472,0.203221945995689,-0.995415473659026,0.0168898176914145,0.995415473659026,0.0168898176914145
"241","FT241",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"242","FT242",-13.5705732454309,0.706418852009115,0.962008682558884,0.962008682558884,0.197249452842379,-0.979494221778939,0.050987763831687,0.979494221778939,0.050987763831687
"243","FT243",-13.8404852664513,-0.0766178131649204,0.99798339017698,0.99798339017698,0.204625676698238,-0.998975879642374,-0.00553010576068668,0.998975879642374,0.00553010576068668
"244","FT244",-13.8382933151507,-0.170538513123692,0.997788250555998,0.997788250555998,0.204585665434135,-0.998817669403607,-0.0123090959515413,0.998817669403607,0.0123090959515413
"245","FT245",-13.7671447383921,-1.21002398690853,0.995032285639202,0.995032285639202,0.204020584700722,-0.993682321134789,-0.0873368782552996,0.993682321134789,0.0873368782552996
"246","FT246",-13.8382974656681,-0.170642948348318,0.997789034624618,0.997789034624618,0.204585826198907,-0.998817968978857,-0.0123166338570683,0.998817968978857,0.0123166338570683
"247","FT247",-13.8382872477336,-0.169848884656961,0.997786152811725,0.997786152811725,0.20458523531441,-0.998817231470743,-0.0122593200809041,0.998817231470743,0.0122593200809041
"248","FT248",-13.838272858436,-0.169199143372878,0.997782930444804,0.997782930444804,0.204584574603001,-0.998816192882797,-0.0122124231796531,0.998816192882797,0.0122124231796531
