"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT0471",219279.308973501,4222.2476646149,30024.4291290537,6188.03417605321,2187.56832784895,8031.34066025408,5110.03559617802,9004.2393154895
"FT0472",100483.990809625,0,0,0,0,0,0,0
"FT0473",49559454.3177821,6887.65440516967,1884237.03078428,2347011.60572924,5772668.94246257,5091515.84344104,7016316.12643028,6791050.05389922
"FT0474",673572.646768912,85559.3736637136,494431.957435302,149094.757861344,81848.7144921861,162622.399237786,103181.337300592,147766.849138923
"FT0475",1744595.27510809,0,0,3402.28545300839,5462.87322608105,4323.37555991753,73605.299840165,13814.7928848143
"FT0476",336503.881598512,56322.2705937753,43049.6217006927,41918.451706078,26140.2479055872,57595.7576593917,47226.5159884016,65021.577468634
"FT0477",4404.46905821691,291738.678232796,106684.833041722,87222.5487935922,92681.3194466936,85534.5701716419,96470.5380577678,114520.304824032
"FT0478",5062492.85837773,0,350713.059109158,316983.124782151,933823.283405236,947058.445797528,1603532.77120607,1166352.32538442
"FT0479",299760.220739739,567.879663668141,0,0,1697.73680225088,16366.0536128413,28009.0038028883,32077.2746331871
"FT0480",3436350.65138221,0,0,1199.87891170389,1016.64659441438,1471.12270595365,1317.12411638025,259333.347129992
"FT0481",1864789.95968183,411043.164543728,88400.0462932285,94974.4167710553,123639.614586902,108162.21746848,111018.303136119,107864.961778931
"FT0482",1061366.70987556,109985.734177698,51920.1799215486,59403.1855766137,64036.5909609089,67233.7461659651,73967.8516330987,57976.7185558827
"FT0483",101948.196887686,157844.497985177,165958.112921405,167775.558607787,128371.25024192,169680.827714288,191604.06874951,115927.159707338
"FT0484",631138.883760547,0,0,5585.59756404216,0,0,0,0
"FT0485",71028.7120783335,963211.754023566,960675.467352837,990665.345703885,1760629.60662996,940682.339817772,1938623.78974459,2314602.40405207
"FT0486",278861.842995118,60978.4870057283,61405.5220648918,51479.9848706063,96371.0539707022,121525.52632866,77642.3383126435,97715.0144645248
"FT0487",806911.921623534,1138235.23096022,89906.9197354156,158745.841559696,140206.910528591,154862.904948817,135518.120826992,157252.125665122
"FT0488",0,663066.050179036,247825.060309561,286003.212275086,166822.42810149,356854.752183626,165670.864061796,196965.828099929
"FT0489",4389293.49838021,728268.185537497,1703656.30935249,1131356.47738006,927630.445970397,1251778.30075781,1579415.04414714,1597371.96638246
"FT0490",139938.67113109,152836.391192175,294488.302986494,315955.269493403,424900.28582227,403159.723617725,183178.729027101,224721.033820347
"FT0491",226344.888215999,0,19476.9795207275,23684.9580470195,9040.87262973578,7374.18725334753,29682.1295677711,10109.0873965927
"FT0492",463867.305397138,23241.112169298,28390.3271877456,13970.8806344036,3986.58089045685,10071.3995204312,33295.0724302572,7324.7415959985
"FT0493",684806.663091516,438118.924421038,842944.285039522,739451.600138934,660485.492208194,956742.170012212,637244.314623509,977520.477518391
"FT0494",142031.015482383,97424.2932395029,168950.467041016,170559.850078123,117949.684159342,227930.088767652,138596.267618783,193115.354931357
"FT0495",333265.293769532,65608.3942252628,129814.300283929,106621.083267846,71729.5181445157,97266.1151810768,111651.115435144,96926.0829061058
"FT0496",3194.90802161555,282275.251172791,126983.806776534,108489.506003901,177467.332664335,150644.749159346,89688.1954221937,84821.103083132
"FT0497",679912.972286305,265865.526824218,40375.9353984347,8367.86416592902,550782.644731096,14262985.8002695,96215.2621646303,12519.0501647057
"FT0498",128150.284219021,0,0,0,0,0,0,0
"FT0499",1446866.3569922,78117.2278677667,114443.478274445,61531.1058763984,21498.234534725,64484.3185700598,28379.6937943105,58804.086025226
"FT0500",168171.246040649,71912.018439312,29995.357988616,51604.2838397374,18717.3719364311,24224.4497231076,37379.7777164261,9132.37264750562
"FT0501",5338624.80678201,14659.1136926731,283969.165546334,123778.128178928,61655.4191029975,179619.315638765,380172.65044915,546230.926448566
"FT0502",834543.196289069,38971.9979919858,124859.95546739,59633.1356321527,49084.1721368147,115429.594653285,81845.2882920801,102826.694653269
"FT0503",177792.943487829,1191.02425723841,9434.80242469194,2313.97503534271,0,2399.8946184087,1647.51638575012,2127.53076104213
"FT0504",752592.535905763,21010.5347102104,92387.3727166367,64773.001268235,60455.7587325195,89383.4166436869,76674.0145014377,151862.512792906
"FT0505",389535.429631348,0,43801.0196410272,14898.0780488672,9602.86457020016,0,13923.3232649155,12624.6453079561
"FT0506",972663.697118595,0,44785.6865209203,0,7154.00442347373,9485.4577351669,55170.2974182733,100906.475602242
"FT0507",454795.963462959,14240.345571859,78412.9318093547,14192.7755615211,11274.3183296342,7295.29478888816,7564.00647767191,8696.16384431135
"FT0508",890137.492139486,700390.863326501,700428.180773436,444405.441054507,385925.265108308,359091.975159504,799595.611552736,925552.954602642
"FT0509",2677979.2513203,94071.9070092522,459212.181595065,255830.54159579,212259.634008791,348419.268469244,460323.607534351,654614.497430665
"FT0510",678074.049928821,10726.8684430035,44236.624948678,32897.8673192741,26695.152263867,40487.7864976018,32761.734344772,61560.0904587571
"FT0511",468541.600304463,149820.579601813,225849.613163584,103223.186799423,137614.967603943,234565.883103899,135365.921781422,141592.690461508
